"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Ranillug","Ranillug","42.4922","21.5989","Kosovo","XK","XKS","Ranillug","admin","","1901029901"
"Ferizaj","Ferizaj","42.3706","21.1553","Kosovo","XK","XKS","Ferizaj","admin","","1901875540"
"Zveçan","Zvecan","42.9075","20.8403","Kosovo","XK","XKS","Zveçan","admin","","1901208362"
"Suharekë","Suhareke","42.3586","20.8250","Kosovo","XK","XKS","Suharekë","admin","","1901918563"
"Gllogovc","Gllogovc","42.6283","20.8939","Kosovo","XK","XKS","Gllogovc","admin","","1901031751"
"Mitrovicë","Mitrovice","42.8833","20.8667","Kosovo","XK","XKS","","admin","","1901138430"
"Skenderaj","Skenderaj","42.7467","20.7886","Kosovo","XK","XKS","Skenderaj ","admin","","1901259570"
"Novobërdë","Novoberde","42.6178","21.4197","Kosovo","XK","XKS","Novobërdë","admin","","1901684676"
"Graçanicë","Gracanice","42.6011","21.1958","Kosovo","XK","XKS","Graçanicë","admin","","1901753443"
"Longyearbyen","Longyearbyen","78.2167","15.6333","Svalbard","XR","XSV","","primary","","1930654114"
"Sanaa","Sanaa","15.3547","44.2066","Yemen","YE","YEM","Amānat al ‘Āşimah","primary","2008000","1887750814"
"Marib","Marib","15.4210","45.3340","Yemen","YE","YEM","Ma’rib","admin","16794","1887153216"
"Al Jabīn","Al Jabin","14.7040","43.5990","Yemen","YE","YEM","Raymah","admin","","1887910100"
"Hajjah","Hajjah","15.6917","43.6021","Yemen","YE","YEM","Ḩajjah","admin","208287","1887522445"
"Ibb","Ibb","13.9759","44.1709","Yemen","YE","YEM","Ibb","admin","234837","1887321491"
"Al Hudaydah","Al Hudaydah","14.7979","42.9530","Yemen","YE","YEM","Al Ḩudaydah","admin","780000","1887984890"
"Lahij","Lahij","13.0582","44.8838","Yemen","YE","YEM","Laḩij","admin","66288","1887871834"
"Al Maḩwīt","Al Mahwit","15.4701","43.5448","Yemen","YE","YEM","Al Maḩwīt","admin","","1887764813"
"Taizz","Taizz","13.6045","44.0394","Yemen","YE","YEM","Ta‘izz","admin","751000","1887324526"
"Sadah","Sadah","16.9398","43.8498","Yemen","YE","YEM","Şa‘dah","admin","105542","1887513055"
"Dhamar","Dhamar","14.5575","44.3875","Yemen","YE","YEM","Dhamār","admin","191259","1887135215"
"‘Amrān","`Amran","15.6594","43.9439","Yemen","YE","YEM","‘Amrān","admin","","1887433410"
"Aḑ Ḑāli‘","Ad Dali`","13.6957","44.7314","Yemen","YE","YEM","Aḑ Ḑāli‘","admin","","1887607369"
"Saywun","Saywun","15.9430","48.7873","Yemen","YE","YEM","Ḩaḑramawt","minor","68747","1887142998"
"Al Bayda","Al Bayda","13.9790","45.5740","Yemen","YE","YEM","Al Bayḑā’","admin","37821","1887788283"
"Zinjibār","Zinjibar","13.1287","45.3807","Yemen","YE","YEM","Abyan","admin","","1887645956"
"Rida","Rida","14.4295","44.8341","Yemen","YE","YEM","Al Bayḑā’","minor","45233","1887090855"
"'Ataq","'Ataq","14.5500","46.8000","Yemen","YE","YEM","Shabwah","admin","37315","1887172893"
"Al Ghaydah","Al Ghaydah","16.2394","52.1638","Yemen","YE","YEM","Al Mahrah","admin","27404","1887000479"
"Sayhut","Sayhut","15.2105","51.2454","Yemen","YE","YEM","Al Mahrah","minor","189","1887613470"
"Al Mukalla","Al Mukalla","14.5412","49.1259","Yemen","YE","YEM","Ḩaḑramawt","admin","258132","1887202594"
"Al Ḩazm","Al Hazm","16.1641","44.7769","Yemen","YE","YEM","Al Jawf","admin","","1887549671"
"Zabīd","Zabid","14.1951","43.3155","Yemen","YE","YEM","Al Ḩudaydah","minor","152504","1887877995"
"Aden","Aden","12.7797","45.0095","Yemen","YE","YEM","‘Adan","admin","1000000","1887867886"
"Hadiboh","Hadiboh","12.6519","54.0239","Yemen","YE","YEM","Arkhabīl Suquţrá","admin","11396","1887452377"
"Ash Shihr","Ash Shihr","14.7593","49.6092","Yemen","YE","YEM","Ḩaḑramawt","minor","54274","1887657562"
"Dzaoudzi","Dzaoudzi","-12.7871","45.2750","Mayotte","YT","MYT","","admin","32057","1175099654"
"Pretoria","Pretoria","-25.7069","28.2294","South Africa","ZA","ZAF","Gauteng","primary","1338000","1710176249"
"Lebowakgomo","Lebowakgomo","-24.1996","29.5000","South Africa","ZA","ZAF","Limpopo","","33308","1710999076"
"Potchefstroom","Potchefstroom","-26.6996","27.1000","South Africa","ZA","ZAF","North West","","123669","1710838885"
"Graaff Reinet","Graaff Reinet","-32.3000","24.5400","South Africa","ZA","ZAF","Eastern Cape","","62896","1710616617"
"Rustenburg","Rustenburg","-25.6500","27.2400","South Africa","ZA","ZAF","North West","","165976","1710326039"
"Brandfort","Brandfort","-28.6996","26.4700","South Africa","ZA","ZAF","Free State","","12091","1710953731"
"Vryheid","Vryheid","-27.7600","30.7900","South Africa","ZA","ZAF","KwaZulu-Natal","","150012","1710716158"
"Vereeniging","Vereeniging","-26.6496","27.9600","South Africa","ZA","ZAF","Gauteng","","1074000","1710271883"
"Brits","Brits","-25.6296","27.7800","South Africa","ZA","ZAF","North West","","122497","1710468143"
"Bethlehem","Bethlehem","-28.2196","28.3000","South Africa","ZA","ZAF","Free State","","83654","1710750307"
"Ubomba","Ubomba","-27.5661","32.0833","South Africa","ZA","ZAF","KwaZulu-Natal","","564","1710203500"
"Polokwane","Polokwane","-23.8900","29.4500","South Africa","ZA","ZAF","Limpopo","admin","220045","1710908010"
"Springbok","Springbok","-29.6667","17.8833","South Africa","ZA","ZAF","Northern Cape","","10438","1710894218"
"Thohoyandou","Thohoyandou","-22.9500","30.4800","South Africa","ZA","ZAF","Limpopo","","269707","1710219075"
"Pietermaritzburg","Pietermaritzburg","-29.6100","30.3900","South Africa","ZA","ZAF","KwaZulu-Natal","admin","750845","1710690280"
"Poffader","Poffader","-29.1329","19.3834","South Africa","ZA","ZAF","Northern Cape","","4220","1710817164"
"Carnarvon","Carnarvon","-30.9496","22.1333","South Africa","ZA","ZAF","Northern Cape","","5785","1710331786"
"Kroonstad","Kroonstad","-27.6600","27.2100","South Africa","ZA","ZAF","Free State","","103992","1710508288"
"Alexander Bay","Alexander Bay","-28.6083","16.5033","South Africa","ZA","ZAF","Northern Cape","","1500","1710616152"
"Bloemhof","Bloemhof","-27.6496","25.5900","South Africa","ZA","ZAF","North West","","17122","1710321800"
"Hermanus","Hermanus","-34.4096","19.2299","South Africa","ZA","ZAF","Western Cape","","25153","1710409701"
"Bethal","Bethal","-26.4696","29.4500","South Africa","ZA","ZAF","Mpumalanga","","101919","1710328253"
"Upington","Upington","-28.4600","21.2300","South Africa","ZA","ZAF","Northern Cape","","71373","1710210449"
"Tzaneen","Tzaneen","-23.8195","30.1700","South Africa","ZA","ZAF","Limpopo","","67245","1710120942"
"Vanhynsdorp","Vanhynsdorp","-31.6166","18.7333","South Africa","ZA","ZAF","Western Cape","","3331","1710187274"
"Musina","Musina","-22.3400","30.0300","South Africa","ZA","ZAF","Limpopo","","20191","1710956370"
"Kimberley","Kimberley","-28.7468","24.7700","South Africa","ZA","ZAF","Northern Cape","admin","165264","1710282622"
"Durban","Durban","-29.8650","30.9800","South Africa","ZA","ZAF","KwaZulu-Natal","","2729000","1710149138"
"Klerksdorp","Klerksdorp","-26.8800","26.6200","South Africa","ZA","ZAF","North West","","178921","1710416691"
"Welkom","Welkom","-27.9700","26.7300","South Africa","ZA","ZAF","Free State","","431944","1710480365"
"De Aar","De Aar","-30.6500","24.0000","South Africa","ZA","ZAF","Northern Cape","","32318","1710551900"
"Prieska","Prieska","-29.6595","22.7300","South Africa","ZA","ZAF","Northern Cape","","11236","1710649877"
"Saldanha","Saldanha","-33.0100","17.9300","South Africa","ZA","ZAF","Western Cape","","68284","1710078862"
"Middelburg","Middelburg","-31.5000","25.0100","South Africa","ZA","ZAF","Eastern Cape","","18164","1710010705"
"Port St. Johns","Port St. Johns","-31.6279","29.5283","South Africa","ZA","ZAF","Eastern Cape","","5939","1710506018"
"Volksrust","Volksrust","-27.3596","29.8900","South Africa","ZA","ZAF","Mpumalanga","","43378","1710664906"
"Ulundi","Ulundi","-28.3296","31.4100","South Africa","ZA","ZAF","KwaZulu-Natal","","20753","1710823263"
"Beaufort West","Beaufort West","-32.3496","22.5700","South Africa","ZA","ZAF","Western Cape","","44737","1710940488"
"Komatipoort","Komatipoort","-25.4096","31.9400","South Africa","ZA","ZAF","Mpumalanga","","20508","1710137353"
"Nelspruit","Nelspruit","-25.4745","30.9703","South Africa","ZA","ZAF","Mpumalanga","admin","","1710114438"
"Standerton","Standerton","-26.9395","29.2400","South Africa","ZA","ZAF","Mpumalanga","","74021","1710222465"
"Johannesburg","Johannesburg","-26.1700","28.0300","South Africa","ZA","ZAF","Gauteng","admin","3435000","1710550792"
"Kuruman","Kuruman","-27.4496","23.4200","South Africa","ZA","ZAF","Northern Cape","","10006","1710332978"
"Paarl","Paarl","-33.6996","18.9600","South Africa","ZA","ZAF","Western Cape","","187865","1710440011"
"Worcester","Worcester","-33.6400","19.4399","South Africa","ZA","ZAF","Western Cape","","127597","1710498245"
"Colesberg","Colesberg","-30.7195","25.1000","South Africa","ZA","ZAF","Northern Cape","","12423","1710885210"
"Umtata","Umtata","-31.5800","28.7900","South Africa","ZA","ZAF","Eastern Cape","","137772","1710651314"
"Aliwal North","Aliwal North","-30.6896","26.7100","South Africa","ZA","ZAF","Eastern Cape","","44436","1710445896"
"Middelburg","Middelburg","-25.7596","29.4700","South Africa","ZA","ZAF","Mpumalanga","","154706","1710495632"
"Springs","Springs","-26.2696","28.4300","South Africa","ZA","ZAF","Gauteng","","236083","1710058382"
"Benoni","Benoni","-26.1496","28.3299","South Africa","ZA","ZAF","Gauteng","","2986000","1710880986"
"Port Shepstone","Port Shepstone","-30.7195","30.4600","South Africa","ZA","ZAF","KwaZulu-Natal","","52793","1710443227"
"Oudtshoorn","Oudtshoorn","-33.5800","22.1900","South Africa","ZA","ZAF","Western Cape","","76708","1710502855"
"Port Elizabeth","Port Elizabeth","-33.9700","25.6000","South Africa","ZA","ZAF","Eastern Cape","","1021000","1710918997"
"Port Alfred","Port Alfred","-33.5995","26.8800","South Africa","ZA","ZAF","Eastern Cape","","17959","1710920478"
"East London","East London","-32.9700","27.8700","South Africa","ZA","ZAF","Eastern Cape","","338627","1710178149"
"Mossel Bay","Mossel Bay","-34.1700","22.1300","South Africa","ZA","ZAF","Western Cape","","16743","1710597106"
"Vryburg","Vryburg","-26.9600","24.7300","South Africa","ZA","ZAF","North West","","49588","1710969597"
"Uitenhage","Uitenhage","-33.7596","25.3900","South Africa","ZA","ZAF","Eastern Cape","","228912","1710276157"
"Bhisho","Bhisho","-32.8700","27.3900","South Africa","ZA","ZAF","Eastern Cape","admin","160997","1710672530"
"Knysna","Knysna","-34.0329","23.0333","South Africa","ZA","ZAF","Western Cape","","63106","1710311704"
"Queenstown","Queenstown","-31.8996","26.8800","South Africa","ZA","ZAF","Eastern Cape","","105309","1710110028"
"Cradock","Cradock","-32.1995","25.6100","South Africa","ZA","ZAF","Eastern Cape","","32898","1710933404"
"Bredasdorp","Bredasdorp","-34.5295","20.0300","South Africa","ZA","ZAF","Western Cape","","14936","1710282172"
"Swellendam","Swellendam","-34.0196","20.4300","South Africa","ZA","ZAF","Western Cape","","13674","1710416218"
"Ladysmith","Ladysmith","-28.5495","29.7800","South Africa","ZA","ZAF","KwaZulu-Natal","","47375","1710998347"
"George","George","-33.9500","22.4500","South Africa","ZA","ZAF","Western Cape","","174582","1710164136"
"Grahamstown","Grahamstown","-33.2996","26.5200","South Africa","ZA","ZAF","Eastern Cape","","91548","1710671857"
"Mmabatho","Mmabatho","-25.8300","25.6100","South Africa","ZA","ZAF","North West","","104428","1710524815"
"Mahikeng","Mahikeng","-25.8652","25.6442","South Africa","ZA","ZAF","North West","admin","","1710965423"
"Bloemfontein","Bloemfontein","-29.1200","26.2299","South Africa","ZA","ZAF","Free State","primary","463064","1710495933"
"Cape Town","Cape Town","-33.9200","18.4350","South Africa","ZA","ZAF","Western Cape","primary","3215000","1710680650"
"Zambezi","Zambezi","-13.5400","23.1099","Zambia","ZM","ZMB","North-Western","","7074","1894660797"
"Solwezi","Solwezi","-12.1796","26.4000","Zambia","ZM","ZMB","North-Western","admin","65000","1894777820"
"Lusaka","Lusaka","-15.4166","28.2833","Zambia","ZM","ZMB","Lusaka","primary","1328000","1894157390"
"Kaoma","Kaoma","-14.7796","24.8000","Zambia","ZM","ZMB","Western","","14212","1894846267"
"Chipata","Chipata","-13.6296","32.6400","Zambia","ZM","ZMB","Eastern","admin","85963","1894816262"
"Senanga","Senanga","-16.1196","23.2700","Zambia","ZM","ZMB","Western","","10005","1894742251"
"Sesheke","Sesheke","-17.4695","24.3000","Zambia","ZM","ZMB","Western","","20149","1894753767"
"Chililabombwe","Chililabombwe","-12.3696","27.8200","Zambia","ZM","ZMB","Copperbelt","","82068","1894950283"
"Chingola","Chingola","-12.5396","27.8500","Zambia","ZM","ZMB","Copperbelt","","182015","1894202007"
"Kasempa","Kasempa","-13.4596","25.8200","Zambia","ZM","ZMB","North-Western","","5622","1894152710"
"Kitwe","Kitwe","-12.8100","28.2200","Zambia","ZM","ZMB","Copperbelt","","404901","1894321752"
"Mufulira","Mufulira","-12.5500","28.2600","Zambia","ZM","ZMB","Copperbelt","","153624","1894907880"
"Nchelenge","Nchelenge","-9.3496","28.7300","Zambia","ZM","ZMB","Luapula","","23693","1894890604"
"Mazabuka","Mazabuka","-15.8600","27.7600","Zambia","ZM","ZMB","Southern","","64006","1894390715"
"Lukulu","Lukulu","-14.3896","23.2400","Zambia","ZM","ZMB","Western","","3349","1894281443"
"Kafue","Kafue","-15.7800","28.1800","Zambia","ZM","ZMB","Lusaka","","47554","1894930695"
"Lundazi","Lundazi","-12.2895","33.1700","Zambia","ZM","ZMB","Eastern","","11635","1894277247"
"Mansa","Mansa","-11.2000","28.8900","Zambia","ZM","ZMB","Luapula","admin","42277","1894038366"
"Mwinilunga","Mwinilunga","-11.7396","24.4400","Zambia","ZM","ZMB","North-Western","","13798","1894210586"
"Mumbwa","Mumbwa","-14.9796","27.0700","Zambia","ZM","ZMB","Central","","19086","1894568812"
"Kalabo","Kalabo","-14.9896","22.6800","Zambia","ZM","ZMB","Western","","7731","1894966417"
"Nyimba","Nyimba","-14.5495","30.8100","Zambia","ZM","ZMB","Eastern","","1336","1894088472"
"Kapiri Mposhi","Kapiri Mposhi","-13.9696","28.6600","Zambia","ZM","ZMB","Central","","37942","1894676779"
"Kabwe","Kabwe","-14.4400","28.4500","Zambia","ZM","ZMB","Central","admin","188979","1894711746"
"Ndola","Ndola","-12.9999","28.6500","Zambia","ZM","ZMB","Copperbelt","admin","396339","1894032745"
"Kasama","Kasama","-10.1996","31.1799","Zambia","ZM","ZMB","Northern","admin","200000","1894305215"
"Mbala","Mbala","-8.8400","31.3700","Zambia","ZM","ZMB","Northern","","20570","1894671312"
"Kawambwa","Kawambwa","-9.7795","29.0800","Zambia","ZM","ZMB","Luapula","","20589","1894964184"
"Luanshya","Luanshya","-13.1333","28.4000","Zambia","ZM","ZMB","Copperbelt","","151993","1894410334"
"Mongu","Mongu","-15.2796","23.1200","Zambia","ZM","ZMB","Western","admin","52534","1894761291"
"Mpika","Mpika","-11.8300","31.4600","Zambia","ZM","ZMB","Muchinga","","28445","1894224372"
"Chinsali","Chinsali","-10.5496","32.0600","Zambia","ZM","ZMB","Muchinga","admin","14015","1894041491"
"Livingstone","Livingstone","-17.8600","25.8600","Zambia","ZM","ZMB","Southern","","165480","1894634581"
"Choma","Choma","-16.8095","26.9700","Zambia","ZM","ZMB","Southern","admin","46746","1894419971"
"Plumtree","Plumtree","-20.4795","27.8200","Zimbabwe","ZW","ZWE","","","2148","1716916272"
"Kariba","Kariba","-16.5296","28.8000","Zimbabwe","ZW","ZWE","","","25531","1716563536"
"Hwange","Hwange","-18.3700","26.5000","Zimbabwe","ZW","ZWE","","","33989","1716416748"
"Chiredzi","Chiredzi","-21.0496","31.6600","Zimbabwe","ZW","ZWE","","","28205","1716636761"
"Mazowe","Mazowe","-17.5196","30.9700","Zimbabwe","ZW","ZWE","Mashonaland Central","","9966","1716608716"
"Zvishavane","Zvishavane","-20.3296","30.0500","Zimbabwe","ZW","ZWE","Masvingo","","35896","1716895095"
"Shamva","Shamva","-17.3196","31.5700","Zimbabwe","ZW","ZWE","Mashonaland Central","","10317","1716210091"
"Harare","Harare","-17.8178","31.0447","Zimbabwe","ZW","ZWE","Harare","primary","1572000","1716196799"
"Kwekwe","Kwekwe","-18.9296","29.8000","Zimbabwe","ZW","ZWE","Midlands","","99149","1716327793"
"Kadoma","Kadoma","-18.3300","29.9099","Zimbabwe","ZW","ZWE","Mashonaland West","","79174","1716398005"
"Gwanda","Gwanda","-20.9396","29.0100","Zimbabwe","ZW","ZWE","Matabeleland South","","14450","1716612305"
"Chinhoyi","Chinhoyi","-17.3596","30.1800","Zimbabwe","ZW","ZWE","","","61739","1716523245"
"Beitbridge","Beitbridge","-22.2096","29.9900","Zimbabwe","ZW","ZWE","","","26459","1716929295"
"Mutare","Mutare","-18.9700","32.6500","Zimbabwe","ZW","ZWE","Manicaland","","249365","1716060405"
"Gweru","Gweru","-19.4500","29.8200","Zimbabwe","ZW","ZWE","","","183358","1716621481"
"Karoi","Karoi","-16.8196","29.6800","Zimbabwe","ZW","ZWE","Mashonaland West","","25030","1716627056"
"Masvingo","Masvingo","-20.0596","30.8200","Zimbabwe","ZW","ZWE","Masvingo","","76311","1716049475"
"Bulawayo","Bulawayo","-20.1700","28.5800","Zimbabwe","ZW","ZWE","Bulawayo","","699385","1716032632"
"Victoria Falls","Victoria Falls","-17.9296","25.8400","Zimbabwe","ZW","ZWE","Matabeleland North","","35761","1716149447"
"Chitungwiza","Chitungwiza","-18.0000","31.1000","Zimbabwe","ZW","ZWE","Harare","","340360","1716688236"
"Maqat","Maqat","47.6482","53.3265","Kazakhstan","KZ","KAZ","Atyraū","","14082","1398887034"
"Zhangaozen","Zhangaozen","43.3004","52.8000","Kazakhstan","KZ","KAZ","Mangghystaū","","8895","1398274968"
"Taraz","Taraz","42.9000","71.3650","Kazakhstan","KZ","KAZ","Zhambyl","admin","358153","1398626276"
"Shymkent","Shymkent","42.3200","69.5950","Kazakhstan","KZ","KAZ","Ongtüstik Qazaqstan","admin","465392","1398791401"
"Oral","Oral","51.2711","51.3350","Kazakhstan","KZ","KAZ","Batys Qazaqstan","admin","209788","1398593972"
"Balqash","Balqash","46.8532","74.9502","Kazakhstan","KZ","KAZ","Qaraghandy","","81364","1398134106"
"Zaysan","Zaysan","47.4752","84.8598","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","17600","1398700526"
"Oytal","Oytal","42.9153","73.2549","Kazakhstan","KZ","KAZ","Zhambyl","","22673","1398816918"
"Zholymbet","Zholymbet","51.7502","71.7099","Kazakhstan","KZ","KAZ","Aqmola","","6876","1398035914"
"Serebryansk","Serebryansk","49.6999","83.4249","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","701","1398188434"
"Chapaev","Chapaev","50.1915","51.1449","Kazakhstan","KZ","KAZ","Batys Qazaqstan","","6000","1398386733"
"Ridder","Ridder","50.3554","83.5149","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","56756","1398556139"
"Zhaltyr","Zhaltyr","51.6324","69.8328","Kazakhstan","KZ","KAZ","Aqmola","","694","1398809487"
"Atbasar","Atbasar","51.8219","68.3477","Kazakhstan","KZ","KAZ","Aqmola","","35819","1398900162"
"Aqsay","Aqsay","51.1714","53.0349","Kazakhstan","KZ","KAZ","Batys Qazaqstan","","34799","1398621920"
"Shemonaikha","Shemonaikha","50.6316","81.9050","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","27176","1398507085"
"Atasu","Atasu","48.6903","71.6499","Kazakhstan","KZ","KAZ","Qaraghandy","","19616","1398926180"
"Rudny","Rudny","52.9527","63.1300","Kazakhstan","KZ","KAZ","Qostanay","","124000","1398701954"
"Makhambet","Makhambet","47.6714","51.5798","Kazakhstan","KZ","KAZ","Atyraū","","8905","1398232608"
"Fort Shevchenko","Fort Shevchenko","44.5171","50.2666","Kazakhstan","KZ","KAZ","Mangghystaū","","5213","1398201971"
"Qusmuryn","Qusmuryn","52.4580","64.6000","Kazakhstan","KZ","KAZ","Qostanay","","8049","1398335766"
"Oktyabrsk","Oktyabrsk","49.4731","57.4449","Kazakhstan","KZ","KAZ","Aqtöbe","","28196","1398394723"
"Khromtau","Khromtau","50.2699","58.4500","Kazakhstan","KZ","KAZ","Aqtöbe","","23715","1398766984"
"Algha","Algha","49.9032","57.3350","Kazakhstan","KZ","KAZ","Aqtöbe","","28267","1398920371"
"Embi","Embi","48.8268","58.1442","Kazakhstan","KZ","KAZ","Aqtöbe","","18760","1398915734"
"Ushtobe","Ushtobe","45.2653","77.9700","Kazakhstan","KZ","KAZ","Almaty","","20492","1398940566"
"Burylbaytal","Burylbaytal","44.9387","74.0303","Kazakhstan","KZ","KAZ","Zhambyl","","100","1398655547"
"Zhanibek","Zhanibek","49.4276","46.8772","Kazakhstan","KZ","KAZ","Batys Qazaqstan","","8212","1398255562"
"Esil","Esil","51.9570","66.3775","Kazakhstan","KZ","KAZ","Aqmola","","13504","1398546225"
"Derzhavinsk","Derzhavinsk","51.1021","66.3075","Kazakhstan","KZ","KAZ","Aqmola","","15848","1398070336"
"Saryshaghan","Saryshaghan","46.1195","73.6191","Kazakhstan","KZ","KAZ","Qaraghandy","","4365","1398222668"
"Turgay","Turgay","49.6260","63.4990","Kazakhstan","KZ","KAZ","Qostanay","","5277","1398845535"
"Sarqan","Sarqan","45.4203","79.9149","Kazakhstan","KZ","KAZ","Almaty","","76919","1398159801"
"Arqalyq","Arqalyq","50.2418","66.8976","Kazakhstan","KZ","KAZ","Qostanay","","55521","1398980293"
"Shalqar","Shalqar","47.8363","59.6141","Kazakhstan","KZ","KAZ","Aqtöbe","","27256","1398440872"
"Shieli","Shieli","44.1670","66.7500","Kazakhstan","KZ","KAZ","Qyzylorda","","29832","1398206798"
"Bayghanin","Bayghanin","48.6917","55.8740","Kazakhstan","KZ","KAZ","Aqtöbe","","7657","1398205914"
"Zhezqazghan","Zhezqazghan","47.7800","67.7700","Kazakhstan","KZ","KAZ","Qaraghandy","","104357","1398121545"
"Mangyshlak","Mangyshlak","43.6905","51.1417","Kazakhstan","KZ","KAZ","Mangghystaū","","147443","1398790140"
"Zhosaly","Zhosaly","45.4877","64.0780","Kazakhstan","KZ","KAZ","Qyzylorda","","20065","1398510696"
"Beyneu","Beyneu","45.1834","55.1000","Kazakhstan","KZ","KAZ","Mangghystaū","","32452","1398655445"
"Qazaly","Qazaly","45.7628","62.1075","Kazakhstan","KZ","KAZ","Qyzylorda","","6582","1398983835"
"Aral","Aral","46.8000","61.6666","Kazakhstan","KZ","KAZ","Qyzylorda","","33017","1398109811"
"Ayakoz","Ayakoz","47.9647","80.4297","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","45861","1398040009"
"Urzhar","Urzhar","47.1002","81.6048","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","14826","1398461653"
"Qapshaghay","Qapshaghay","43.8844","77.0687","Kazakhstan","KZ","KAZ","Almaty","","42167","1398594098"
"Esik","Esik","43.3691","77.4438","Kazakhstan","KZ","KAZ","Almaty","","35319","1398166418"
"Turkistan","Turkistan","43.3016","68.2549","Kazakhstan","KZ","KAZ","Ongtüstik Qazaqstan","","97360","1398398278"
"Qaratau","Qaratau","43.1854","70.4600","Kazakhstan","KZ","KAZ","Zhambyl","","37881","1398932329"
"Sharbaqty","Sharbaqty","52.4999","78.1499","Kazakhstan","KZ","KAZ","Pavlodar","","107","1398705015"
"Oostanay","Oostanay","53.2209","63.6283","Kazakhstan","KZ","KAZ","Qostanay","admin","236901","1398455461"
"Kachiry","Kachiry","53.0804","76.0900","Kazakhstan","KZ","KAZ","Pavlodar","","8931","1398362078"
"Kishkenekol","Kishkenekol","53.6368","72.3414","Kazakhstan","KZ","KAZ","Soltüstik Qazaqstan","","6779","1398061261"
"Bulaevo","Bulaevo","54.9053","70.4400","Kazakhstan","KZ","KAZ","Soltüstik Qazaqstan","","9886","1398659796"
"Shonzhy","Shonzhy","43.5421","79.4703","Kazakhstan","KZ","KAZ","Almaty","","3902","1398268525"
"Qyzylorda","Qyzylorda","44.8000","65.4650","Kazakhstan","KZ","KAZ","Qyzylorda","admin","300000","1398248334"
"Qaraghandy","Qaraghandy","49.8850","73.1150","Kazakhstan","KZ","KAZ","Qaraghandy","admin","451800","1398274508"
"Ertis","Ertis","53.3453","75.4499","Kazakhstan","KZ","KAZ","Pavlodar","","9216","1398172080"
